,Images,Text
0,000000423052.jpg#0,A sign and car on a city street.
1,000000423052.jpg#1,Store front on an old narrow city street with cars on it. 
2,000000423052.jpg#2,A sidewalk with a large sign that's been altered with graffiti. 
3,000000423052.jpg#3,"a vandalized parking sign that reads ""free cone"" instead of free parking"
4,000000423052.jpg#4,A sign points to a traffic cone above it.
5,000000407559.jpg#0,Scene of a building through the mirror of a vehicle.
6,000000407559.jpg#1,Rear view mirror of car with a sign reflected in it.
7,000000407559.jpg#2,City lights shine while a car rear view mirror reflects a building.
8,000000407559.jpg#3,Someone checks a side mirror while in their car. 
9,000000407559.jpg#4,There are some colored lights hanging from street lamps
10,000000107244.jpg#0,a street sign on a road near a building
11,000000107244.jpg#1,The car is driving down a slight curve on the road.
12,000000107244.jpg#2,A street with various signage and buildings around.
13,000000107244.jpg#3,A car that is sitting on the side of the street.
14,000000107244.jpg#4,A street with a car coming down hill by an older brick building.
15,000000396907.jpg#0,The car is driving down a quiet road. 
16,000000396907.jpg#1,a street light with signs on it near a bridge
17,000000396907.jpg#2,Dark car on roadway in cloudy urban setting.
18,000000396907.jpg#3,A car passing under a bridge next to lamppost.
19,000000396907.jpg#4,A streetlight overlooks a road and bridge with a building behind them.
20,000000518518.jpg#0,A large brown dog sitting in the drivers seat of a truck.
21,000000518518.jpg#1,The dog is sitting in the driver's seat of the car.
22,000000518518.jpg#2,Dog in the drivers seat of a green car.
23,000000518518.jpg#3,The dog is sitting in the car with the window down.
24,000000518518.jpg#4,The dog is sitting in the driver's seat of a car.
25,000000339344.jpg#0,A bus that is sitting in the street.
26,000000339344.jpg#1,A passenger bus that has parked on the side of the street.
27,000000339344.jpg#2,A multicolored bus with Russian lettering on the back parked by a sidewalk. 
28,000000339344.jpg#3,A yellow and orange bus stopped on the side of a road.
29,000000339344.jpg#4,A large passenger bus is on the street.
30,000000575343.jpg#0,A dog hanging out of the back door car window.
31,000000575343.jpg#1,a reflection of a dog in the side view mirror
32,000000575343.jpg#2,an image of a dog riding in the car with its head out the window
33,000000575343.jpg#3,The rear view mirror of a car showing a dog out a window.
34,000000575343.jpg#4,A side view mirror with a reflection of a dog.
35,000000473214.jpg#0,A road that has a car driving down it.
36,000000473214.jpg#1,A car is coming down a winding road. 
37,000000473214.jpg#2,a red soda machine on a long road
38,000000473214.jpg#3,"A lot of building on each side of the road, with a very curvy road in the middle."
39,000000473214.jpg#4,A car that is sitting int he street near a building.
40,000000432120.jpg#0,A dog hanging out of back door window in a car.
41,000000432120.jpg#1,A dog in a car is viewed from the car's side  mirror.
42,000000432120.jpg#2,Dog looking out the window of a car in rearview mirror.
43,000000432120.jpg#3,A rear view mirror shows a giraffe looking behind a car.
44,000000432120.jpg#4,Dogs love to ride with their heads out the car window.
45,000000559557.jpg#0,A cat on the hood of a car gets ready to pounce.
46,000000559557.jpg#1,A cat crouched on the hood of a car
47,000000559557.jpg#2,a cat sitting on the top of a car hood
48,000000559557.jpg#3,a cat is kneeling on top of a car
49,000000559557.jpg#4,A cat sitting on top of the hood of a car.
50,000000489687.jpg#0,A cat sitting on top of a a black car.
51,000000489687.jpg#1,A cat is lying on the hood of a black car.
52,000000489687.jpg#2,An orange cat laying on top of a black car.
53,000000489687.jpg#3,A white and tan cat laying on top of a black BMW
54,000000489687.jpg#4,A cat sitting on top of a car and resting.
55,000000460702.jpg#0,A car with a dog sitting in the front seat.
56,000000460702.jpg#1,An economy car is parked on the side of the road with a dog in the passenger's seat.
57,000000460702.jpg#2,The dog is sitting in the driver's seat of a silver car.
58,000000460702.jpg#3,"A dog sitting in the drivers seat of a car. 
"
59,000000460702.jpg#4,A car with a dog sitting in the front seat.
60,000000284084.jpg#0,A very tall giraffe in a safari adventure where people can watch them from their cars.
61,000000284084.jpg#1,A giraffe standing on top of a dirt hill.
62,000000284084.jpg#2,A giraffe is standing in the grass near a car.
63,000000284084.jpg#3,A giraffe standing in the middle of an open area with a car in front of it.
64,000000284084.jpg#4,A giraffe standing on sandy soil looks over a car.
65,000000235536.jpg#0,The car is driving on the wet road. 
66,000000235536.jpg#1,A yellow truck driving along a wet muddy road.
67,000000235536.jpg#2,a jeep rides in the dark with its headlights on through a muddy road
68,000000235536.jpg#3,The jeep is being driven down the muddy road.
69,000000235536.jpg#4,A yellow jeep riding down a muddy road at night.
70,000000034884.jpg#0,A pretty cat sits on a car posing for a picture.
71,000000034884.jpg#1,a cat sitting on the hood of a white car
72,000000034884.jpg#2,tHERE IS A CAT SITTING ON THE HOOD OF A SILVER CAR
73,000000034884.jpg#3,A cat sitting on the hood of a silver car.
74,000000034884.jpg#4,A cat sitting on the front of a car.
75,000000329147.jpg#0,A cat laying on top of the hood of a car.
76,000000329147.jpg#1,A cat is laying on the hood of a car. 
77,000000329147.jpg#2,a cat on a BMW car bonnet sleeping
78,000000329147.jpg#3,A fluffy cat is lying on top of a BMW car.
79,000000329147.jpg#4,A tabby cat asleep on the hood of a BMW car. 
80,000000497441.jpg#0,A blue car and white truck next to bushes in yard.
81,000000497441.jpg#1,Beat up old car and truck sit out in the yard
82,000000497441.jpg#2,The old cars are parked in the driveway.
83,000000497441.jpg#3,A rusted out truck parked behind a blue older car.
84,000000497441.jpg#4,A truck and a car parked in a driveway.
85,000000293785.jpg#0,A white truck parked in front of a store with lots of windows.
86,000000293785.jpg#1,A large white building on the corner of a street .
87,000000293785.jpg#2,A white building storefront has a van and car parked in front of it. 
88,000000293785.jpg#3,A white vehicle in front of a building.
89,000000293785.jpg#4,A delivery truck is parked in front of a store.
90,000000193853.jpg#0,A cat on the curb in front of a cars bumber
91,000000193853.jpg#1,A pretty white andorange cat walks along a widewalk
92,000000193853.jpg#2,The cat is standing in front of the car. 
93,000000193853.jpg#3,A cat walking down a sidewalk pauses in front of a parked car.
94,000000193853.jpg#4,A cat passes in front of the grate of a blue car.
95,000000112938.jpg#0,a blurry photo of a bench near a fence 
96,000000112938.jpg#1,Gloomy view of outside from large vacant window
97,000000112938.jpg#2,A view of an entrance to a train station.
98,000000112938.jpg#3,An area that has surrounded by a metal fence.
99,000000112938.jpg#4,some sun peeking under the top part of a tree
100,000000042919.jpg#0,The back side of a truck traveling down a road hauling tree trunks 
101,000000042919.jpg#1,THERE IS A PULP WOOD EIGHTEEN WHEELER TRACTOR TRAIOR ON THE STREET 
102,000000042919.jpg#2,a truck with many tree trunks in the back
