000000423052.jpg#0,A sign and car on a city street.
000000423052.jpg#1,Store front on an old narrow city street with cars on it. 
000000423052.jpg#2,A sidewalk with a large sign that's been altered with graffiti. 
000000423052.jpg#3,"a vandalized parking sign that reads ""free cone"" instead of free parking"
000000423052.jpg#4,A sign points to a traffic cone above it.
000000407559.jpg#0,Scene of a building through the mirror of a vehicle.
000000407559.jpg#1,Rear view mirror of car with a sign reflected in it.
000000407559.jpg#2,City lights shine while a car rear view mirror reflects a building.
000000407559.jpg#3,Someone checks a side mirror while in their car. 
000000407559.jpg#4,There are some colored lights hanging from street lamps
000000107244.jpg#0,a street sign on a road near a building
000000107244.jpg#1,The car is driving down a slight curve on the road.
000000107244.jpg#2,A street with various signage and buildings around.
000000107244.jpg#3,A car that is sitting on the side of the street.
000000107244.jpg#4,A street with a car coming down hill by an older brick building.
000000396907.jpg#0,The car is driving down a quiet road. 
000000396907.jpg#1,a street light with signs on it near a bridge
000000396907.jpg#2,Dark car on roadway in cloudy urban setting.
000000396907.jpg#3,A car passing under a bridge next to lamppost.
000000396907.jpg#4,A streetlight overlooks a road and bridge with a building behind them.
000000518518.jpg#0,A large brown dog sitting in the drivers seat of a truck.
000000518518.jpg#1,The dog is sitting in the driver's seat of the car.
000000518518.jpg#2,Dog in the drivers seat of a green car.
000000518518.jpg#3,The dog is sitting in the car with the window down.
000000518518.jpg#4,The dog is sitting in the driver's seat of a car.
000000339344.jpg#0,A bus that is sitting in the street.
000000339344.jpg#1,A passenger bus that has parked on the side of the street.
000000339344.jpg#2,A multicolored bus with Russian lettering on the back parked by a sidewalk. 
000000339344.jpg#3,A yellow and orange bus stopped on the side of a road.
000000339344.jpg#4,A large passenger bus is on the street.
000000575343.jpg#0,A dog hanging out of the back door car window.
000000575343.jpg#1,a reflection of a dog in the side view mirror
000000575343.jpg#2,an image of a dog riding in the car with its head out the window
000000575343.jpg#3,The rear view mirror of a car showing a dog out a window.
000000575343.jpg#4,A side view mirror with a reflection of a dog.
000000473214.jpg#0,A road that has a car driving down it.
000000473214.jpg#1,A car is coming down a winding road. 
000000473214.jpg#2,a red soda machine on a long road
000000473214.jpg#3,"A lot of building on each side of the road, with a very curvy road in the middle."
000000473214.jpg#4,A car that is sitting int he street near a building.
000000432120.jpg#0,A dog hanging out of back door window in a car.
000000432120.jpg#1,A dog in a car is viewed from the car's side  mirror.
000000432120.jpg#2,Dog looking out the window of a car in rearview mirror.
000000432120.jpg#3,A rear view mirror shows a giraffe looking behind a car.
000000432120.jpg#4,Dogs love to ride with their heads out the car window.
000000559557.jpg#0,A cat on the hood of a car gets ready to pounce.
000000559557.jpg#1,A cat crouched on the hood of a car
000000559557.jpg#2,a cat sitting on the top of a car hood
000000559557.jpg#3,a cat is kneeling on top of a car
000000559557.jpg#4,A cat sitting on top of the hood of a car.
000000489687.jpg#0,A cat sitting on top of a a black car.
000000489687.jpg#1,A cat is lying on the hood of a black car.
000000489687.jpg#2,An orange cat laying on top of a black car.
000000489687.jpg#3,A white and tan cat laying on top of a black BMW
000000489687.jpg#4,A cat sitting on top of a car and resting.
000000460702.jpg#0,A car with a dog sitting in the front seat.
000000460702.jpg#1,An economy car is parked on the side of the road with a dog in the passenger's seat.
000000460702.jpg#2,The dog is sitting in the driver's seat of a silver car.
000000460702.jpg#3,"A dog sitting in the drivers seat of a car. 
"
000000460702.jpg#4,A car with a dog sitting in the front seat.
